scenario,group,variable,n,correlation,r2,rmse,mae,bias
constant_high,approximate,log_Ne,100,0.9999362531440465,0.9998699031014288,0.006229365422036044,0.004773956857430264,-0.0008165086413951883
constant_high,corrected,log_Ne,100,0.9999540771409399,0.9999065237805944,0.005280328063331173,0.004011757959927493,-0.0006905682348951636
